time_s,gnss_2d,gnss_3d,fusion_2d,fusion_3d
1.419999980926513672e+01,1.096695754378920284e+01,4.126493172102575357e+01,8.734862809769508019e+00,1.055890783429614110e+01
1.429999995231628418e+01,1.088038349858035936e+01,4.128356099697909087e+01,8.192576815303286963e+00,1.002594275058625684e+01
1.439999985694885254e+01,1.094591072015160726e+01,4.129004143434121943e+01,7.668980181028271836e+00,9.327313327210948302e+00
1.450000000000000000e+01,1.087879983809338391e+01,4.119920212065712661e+01,7.859361253383571722e+00,1.000482662555771363e+01
1.459999990463256836e+01,1.081652185891131346e+01,4.118560067225549659e+01,7.964797225033030337e+00,9.988170871568058828e+00
1.469999980926513672e+01,1.084299528191030149e+01,4.113091530338102331e+01,9.197065633794329287e+00,1.201961297539121709e+01
1.479999995231628418e+01,1.081031917677382737e+01,4.109787195698584839e+01,8.993229535001802333e+00,1.154726609532667503e+01
1.489999985694885254e+01,1.073957785936517872e+01,4.105351847731593296e+01,8.495051441033330875e+00,1.011678159543290612e+01
1.500000000000000000e+01,1.063879795837888587e+01,4.090633023902125842e+01,7.930136324503970435e+00,1.081134390171598447e+01
1.509999990463256836e+01,1.059051458385402000e+01,4.088147979346636873e+01,7.442989219101127318e+00,1.050474411520589157e+01
1.519999980926513672e+01,1.054423233583963437e+01,4.087162235167618718e+01,7.233879409638259261e+00,9.878777797320170251e+00
1.529999995231628418e+01,1.044651024335902889e+01,4.083043689380078689e+01,7.456933001403170280e+00,9.045347062970106933e+00
1.539999985694885254e+01,1.039961845464539181e+01,4.078527707288913007e+01,7.386147822643703620e+00,9.189625220400875705e+00
1.550000000000000000e+01,1.027629695507598129e+01,4.069471924895890425e+01,7.549490487641048020e+00,9.610224061039449595e+00
1.559999990463256836e+01,1.027621338901801984e+01,4.067873670619783155e+01,7.153426600825137704e+00,8.325323965838720142e+00
1.569999980926513672e+01,1.021496543361189957e+01,4.068939418786012396e+01,6.744370042982084534e+00,7.709402313471666268e+00
1.579999995231628418e+01,1.024071723838131476e+01,4.073478132835101917e+01,7.333230850846630844e+00,8.637682884268794936e+00
1.589999985694885254e+01,1.020432230191092771e+01,4.074260822050493402e+01,7.375351042879501939e+00,8.935210665929565366e+00
1.600000000000000000e+01,1.016665460648337671e+01,4.076109880157220999e+01,6.809671551582736626e+00,7.975236271769177598e+00
1.609999990463256836e+01,1.010394853555217765e+01,4.069728101542466447e+01,6.507453526913940856e+00,6.720890949709960260e+00
1.619999980926513672e+01,1.006288550426602768e+01,4.069168607023657103e+01,7.161785229588025103e+00,8.318508291594632453e+00
1.629999995231628418e+01,1.001786136858392773e+01,4.069318519187154237e+01,7.065500284161141842e+00,8.265579834346945987e+00
1.639999985694885254e+01,1.010596327556855378e+01,4.070123531420721008e+01,7.830194055532359698e+00,9.069480660871526823e+00
